   840.00000000000000       0.16800000000000001             5001
  -20.481219922799855      -0.60844236269669016        1.9663657535207006E-003  -3.9815633513432777E-004
  -20.583384628936692      -0.60781537649671569        1.8981403170714424E-003  -3.9020888188021487E-004
  -20.685445889302752      -0.60721064111662626        1.8312870678185050E-003  -3.8248175630246841E-004
  -20.787407404351878      -0.60662771415710892        1.7657676835568163E-003  -3.7496717771393317E-004
  -20.889272801259541      -0.60606616543630520        1.7015452016639454E-003  -3.6765767749411085E-004
  -20.991045635938477      -0.60552557655941486        1.6385839707009232E-003  -3.6054612306547009E-004
  -21.092729394983504      -0.60500554050659161        1.5768495864044866E-003  -3.5362567293786547E-004
  -21.194327497548691      -0.60450566123853866        1.5163088418403308E-003  -3.4688977108909000E-004
  -21.295843297159653      -0.60402555331837793        1.4569296788780554E-003  -3.4033214359320649E-004
  -21.397280083463667      -0.60356484154953727        1.3986811355122136E-003  -3.3394676715164094E-004
  -21.498641083920297      -0.60312316062867344        1.3415333033163523E-003  -3.2772786647077370E-004
  -21.599929465434901      -0.60270015481266892        1.2854572839529814E-003  -3.2166990339767423E-004
  -21.701148335937354      -0.60229547759932123        1.2304251468164273E-003  -3.1576756193490714E-004
  -21.802300745908273      -0.60190879142099507        1.1764098909554542E-003  -3.1001574374497443E-004
  -21.903389689854809      -0.60153976735068837        1.1233854039748733E-003  -3.0440954117696691E-004
  -22.004418107738104      -0.60118808481962338        1.0713264328323967E-003  -2.9894425412490682E-004
  -22.105388886354202      -0.60085343134607694        1.0202085439360647E-003  -2.9361536005736088E-004
  -22.206304860670386      -0.60053550227508123        9.7000809350053475E-004  -2.8841851514132969E-004
  -22.307168815118629      -0.60023400052817910        9.2070219419004156E-004  -2.8334953438686604E-004
  -22.407983484847854      -0.59994863636270679        8.7226869202021852E-004  -2.7840441300097608E-004
  -22.508751556936499      -0.59967912714064564        8.2468612758840581E-004  -2.7357927581259073E-004
  -22.609475671567111      -0.59942519710621756        7.7793372021332070E-004  -2.6887041248777066E-004
  -22.710158423164188      -0.59918657717179202        7.3199133426332815E-004  -2.6427424193987145E-004
  -22.810802361496833      -0.59896300471209307        6.8683945895340226E-004  -2.5978732132065979E-004
  -22.911409992747451      -0.59875422336595563        6.4245918323293887E-004  -2.5540633478141831E-004
  -23.011983780547794      -0.59855998284556799        5.9883217325401865E-004  -2.5112808635497860E-004
  -23.112526146983562      -0.59838003875268242        5.5594065229424476E-004  -2.4694950033035088E-004
  -23.213039473568696      -0.59821415240160358        5.1376737929494836E-004  -2.4286761376012748E-004
  -23.313526102190501      -0.59806209064875271        4.7229562727351841E-004  -2.3887956072602933E-004
  -23.413988336026677      -0.59792362572815461        4.3150917123934226E-004  -2.3498259743910530E-004
