   10.000000000000000        2.0000000000000000E-003        5001
  -2.0738282444619549       -9.7949694266280520        30.716362703520073       -428.64588561952741     
  -2.0932987470314819       -9.6772477264414061        29.817244677321497       -407.73275813976716     
  -2.1125372353677205       -9.5628715408297982        28.962755262706974       -388.22080897227272     
  -2.1315502331948011       -9.4516791694866367        28.149855223869036       -369.99159852557636     
  -2.1503439520456671       -9.3435196477734674        27.375766226911402       -352.93869857233591     
  -2.1689243117858950       -9.2382518472486908        26.637943990159840       -336.96627876889096     
  -2.1872969594346618       -9.1357436666332781        25.934054636467252       -321.98788069148776     
  -2.2054672864524281       -9.0358713026557069        25.261953823629835       -307.92535496426683     
  -2.2234404446452847       -8.9385185916207579        24.619668268222039       -294.70793222463595     
  -2.2412213608189111       -8.8435764137345654        24.005379368363666       -282.27141452008550     
  -2.2588147503002229       -8.7509421532353517        23.417408641701609       -270.55746570914249     
  -2.2762251294318525       -8.6605192082570550        22.854204755839991       -259.51298848747581     
  -2.2934568271332512       -8.5722165450955448        22.314331959705225       -249.08957890756864     
  -2.3105139956122347       -8.4859482922036147        21.796459728329332       -239.24304212719071     
  -2.3274006203020656       -8.4016333697958245        21.299353495485285       -229.93296783235803     
  -2.3441205290914180       -8.3191951514278717        20.821866328624150       -221.12235223414876     
  -2.3606774009077771       -8.2385611543401840        20.362931448636434       -212.77726447443968     
  -2.3770747737087787       -8.1596627557193315        19.921555488966458       -204.86654911389124     
  -2.3933160519306544       -8.0824349323528324        19.496812415809028       -197.36156164906760     
  -2.4094045134381901       -8.0068160214293851        19.087838035891647       -190.23593333944433     
  -2.4253433160163720       -7.9327475004858927        18.693825022619848       -183.46536004298918     
  -2.4411355034401336       -7.8601737847159292        18.314018410958699       -177.02741425540401     
  -2.4567840111552357       -7.7890420400431593        17.947711504706643       -170.90137538477990     
  -2.4722916716003063       -7.7193020105289500        17.594242163632146       -165.06808023231122     
  -2.4876612191973515       -7.6509058588372092        17.252989409632935       -159.50978346501719     
  -2.5028952950356551       -7.5838080186002577        16.923370352972533       -154.21003859983350     
  -2.5179964512717525       -7.5179650576515655        16.604837368816572       -149.15358512168629     
  -2.5329671552662614       -7.4533355511977595        16.296875524568488       -144.32624811933081     
  -2.5478097934765436       -7.3898799640769175        15.999000234689920       -139.71485129937733     
  -2.5625266751225690       -7.3275605413537503        15.710755090492246       -135.30713049991760     
  -2.5771200356419586       -7.2663412065577804        15.431709896929213       -131.09166421831907     
  -2.5915920399488002       -7.2061874669406834        15.161458846169040       -127.05780305655166     
  -2.6059447855097213       -7.1470663251926858        14.899618853814189       -123.19560993567789     
  -2.6201803052495709       -7.0889461970966572        14.645828024184571       -119.49580505654643     
  -2.6343005702981079       -7.0317968346605975        14.399744231008427       -115.94971352502091     
  -2.6483074925882133       -6.9755892542988640        14.161043818683439       -112.54922088754782     
  -2.6622029273153034       -6.9202956696747808        13.929420394909187       -109.28672988796961     
  -2.6759886752669124       -6.8658894288537997        13.704583720075547       -106.15512235911950     
  -2.6896664850307186       -6.8123449554418070        13.486258678085949       -103.14772372344017     
  -2.7032380550886796       -6.7596376934141444        13.274184324618687       -100.25827071324933     
  -2.7167050358043752       -6.7077440553642287        13.068113005887394       -97.480882060851926     
