   10.000000000000000        2.0000000000000000E-003        5001
  -3.9874874933522007       -6.3249389138360090        17.412069072131331       -137.01379292241356     
  -4.0000688190139275       -6.2569348030625527        17.131207579956786       -133.59683975755487     
  -4.0125152325644509       -6.1900131348198162        16.857416239801637       -130.29800943753500     
  -4.0248288715532068       -6.1241470459738601        16.590448410624958       -127.11210428673068     
  -4.0370118207483463       -6.0593105975828010        16.330068396408493       -124.03420146522846     
  -4.0490661139435380       -5.9954787344147498        16.076050868396585       -121.05963892450332     
  -4.0609937356860053       -5.9326272466082575        15.828180308874451       -118.18399808793954     
  -4.0727966229299710       -5.8707327333498149        15.586250494803444       -115.40308914037566     
  -4.0844766666194046       -5.8097725684402857        15.350064011876441       -112.71293681724970     
  -4.0960357132037322       -5.7497248676345869        15.119431801546845       -110.10976846970166     
  -4.1074755660899429       -5.6905684576500359        14.894172728929789       -107.59000063087498     
  -4.1187979870343323       -5.6322828467418873        14.674113184676152       -105.15022913493155     
  -4.1300046974769105       -5.5748481967528019        14.459086704721180       -102.78721829237725     
  -4.1410973798213435       -5.5182452965534257        14.248933612237558       -100.49789034294321     
  -4.1520776786631242       -5.4624555367885907        14.043500685123611       -98.279317128913135     
  -4.1629472019684979       -5.4074608858536433        13.842640841144060       -96.128712268050975     
  -4.1737075222065387       -5.3532438670362836        13.646212834617089       -94.043421272616001     
  -4.1843601774366430       -5.2997875367530867        13.454080981301075       -92.020915887225385     
  -4.1949066723535511       -5.2470754638185291        13.266114890719827       -90.058786483826481     
  -4.2053484792919171       -5.1950917096934557        13.082189214363993       -88.154734789736011     
  -4.2156870391923249       -5.1438208096534765        12.902183414542634       -86.306569668792577     
  -4.2259237625305310       -5.0932477548313315        12.725981535455233       -84.512199793884690     
  -4.2360600302116502       -5.0433579750870372        12.553471990806031       -82.769627263168388     
  -4.2460971944308792       -4.9941373226509711        12.384547376176336       -81.076947211489170     
  -4.2560365795022541       -4.9455720565128036        12.219104260080549       -79.432336375084844     
  -4.2658794826569304       -4.8976488275089824        12.057043023760983       -77.834054590386614     
  -4.2756271748122900       -4.8503546640690232        11.898267678334129       -76.280436467346391     
  -4.2852809013132065       -4.8036769585932948        11.742685715576684       -74.769891555970247     
  -4.2948418826466632       -4.7576034544296597        11.590207938061425       -73.300894354311197     
  -4.3043113151309251       -4.7121222334096657        11.440748337920859       -71.871988638338991     
  -4.3136903715803019       -4.6672217039216424        11.294223940083725       -70.481778358111313     
  -4.3229802019466117       -4.6228905895016048        11.150554677819002       -69.128925583861189     
  -4.3321819339383083       -4.5791179178973351        11.009663276384529       -67.812150450485831     
  -4.3412966736182010       -4.5358930105972028        10.871475124574204       -66.530224995808851     
  -4.3503255059806971       -4.4932054727988557        10.735918168469638       -65.281971939334937     
  -4.3592694955093965       -4.4510451837882492        10.602922806635107       -64.066262961404163     
  -4.3681296867158501       -4.4094022877172456        10.472421785534536       -62.882015372522908     
  -4.3769071046602654       -4.3682671847595778        10.344350102164945       -61.728189060250564     
  -4.3856027554548884       -4.3276305226196410        10.218644921566877       -60.603787821467130     
  -4.3942176267507440       -4.2874831883872311        10.095245477015347       -59.507853367168899     
  -4.4027526882084373       -4.2478163007195757        9.9740929939695633       -58.439465211446155     
  -4.4112088919536223       -4.2086212023262348        9.8551306133565220       -57.397740116371658     
  -4.4195871730177423       -4.1698894527542052        9.7383033103026762       -56.381828705820425     
  -4.4278884497646391       -4.1316128214574643        9.6235578219694418       -55.390913245023654     
  -4.4361136243035721       -4.0937832811285269        9.5108425898215998       -54.424210416126328     
  -4.4442635828891532       -4.0563930012942340        9.4001076740291012       -53.480962936003351     
  -4.4523391963087491       -4.0194343421533496        9.2913047126108594       -52.560445162885827     
  -4.4603413202577666       -3.9828998486448608        9.1843868469387857       -51.661957489734789     
  -4.4682707957033285       -3.9467822447469825        9.0793086706675297       -50.784826843841557     
  -4.4761284492367546       -3.9110744279864385        8.9760261711147038       -49.928403911270181     
  -4.4839150934152743       -3.8757694641489149        8.8744966880716092       -49.092066300993054     
  -4.4916315270933502       -3.8408605821922404        8.7746788437481626       -48.275210440262839     
  -4.4992785357440432       -3.8063411693425309        8.6765325166826557       -47.477257347772195     
  -4.5068568917707204       -3.7722047663639735        8.5800187854534471       -46.697649080940096     
  -4.5143673548094991       -3.7384450630111310        8.4850998816055068       -45.935846237910027     
  -4.5218106720227649       -3.7050558936395639        8.3917391544563458       -45.191328901239558     
  -4.5291875783840574       -3.6720312329685534        8.2999010329043443       -44.463597026478396     
  -4.5364987969546391       -3.6393651920012537        8.2095509781332510       -43.752166667410108     
  -4.5437450391520624       -3.6070520140887297        8.1206554543022946       -43.056571419342049     
  -4.5509270050109940       -3.5750860711285526        8.0331818899104235       -42.376360642748523     
  -4.5580453834365766       -3.5434618598966239        7.9470986474872163       -41.711100073893448     
  -4.5651008524505805       -3.5121739985075617        7.8623749872885895       -41.060370048473516     
  -4.5720940794306069       -3.4812172229989891        7.7789810349893074       -40.423763947305957     
  -4.5790257213425765       -3.4505863840263995        7.6968877620320342       -39.800891415975315     
